ep_id,season,team,league,games_played,goals,assists,penalty_min,plus_minus
11101,2006-07,Seattle Thunderbirds,WHL,72,16,11,89,3
11101,2007-08,Tri-City Americans,WHL,26,8,8,14,0
40288,2003-04,Cornwall Thunder Midget AAA,NBPEIMHL,0,0,0,0,0
40288,2004-05,Charlottetown Abbies,MJAHL,1,0,0,0,0
40288,2005-06,Prince Edward Island Rocket,QMJHL,61,6,4,26,-11
40288,2006-07,Charlottetown Abbies,MJAHL,30,13,15,46,0
40288,2006-07,Prince Edward Island Rocket,QMJHL,17,0,3,4,-1
40288,2007-08,Charlottetown Abbies,MJAHL,41,20,31,52,0
40288,2008-09,Summerside Western Capitals,MJAHL,29,19,20,64,0
106101,2009-10,Valley Wildcats,NSMMHL,33,7,17,50,0
106101,2010-11,Valley Wildcats,NSMMHL,35,8,16,34,0
106101,2010-11,Amherst Ramblers,MJAHL,9,1,0,0,0
106101,2011-12,Yarmouth Mariners,MJAHL,18,3,6,6,0
106101,2011-12,Bridgewater Lumberjacks,MJAHL,27,10,20,18,0
106101,2011-12,Moncton Wildcats,QMJHL,13,0,2,4,-5
106101,2012-13,Bridgewater Lumberjacks,MJAHL,44,19,21,19,0
106101,2013-14,"Bridgewater Lumberjacks 
“C”",MJAHL,16,7,3,16,0
106101,2013-14,Yarmouth Mariners,MJAHL,38,6,21,23,0
106101,2014-15,Yarmouth Mariners,MJAHL,43,26,27,47,0
106101,2015-16,Queen's Univ.,USports,25,5,4,8,0
106101,2016-17,Queen's Univ.,USports,15,0,1,4,0
106101,2017-18,Queen's Univ.,USports,6,1,0,0,0
155239,2010-11,Honeybaked U16,T1EHL U16,33,2,5,18,0
155239,2011-12,Des Moines Buccaneers,USHL,3,0,0,2,-1
155239,2011-12,Compuware U18,HPHL U18,0,0,0,0,0
155239,2011-12,Plymouth Whalers,OHL,11,0,1,22,-6
155239,2012-13,Plymouth Whalers,OHL,35,0,5,57,11
155239,2013-14,Plymouth Whalers,OHL,62,3,11,127,-11
155239,2014-15,Plymouth Whalers,OHL,58,9,9,157,-14
155239,2015-16,Alaska Aces,ECHL,22,5,5,36,0
155239,2016-17,Alaska Aces,ECHL,34,0,7,41,0
155239,2017-18,Utah Grizzlies,ECHL,58,2,12,82,-9
155239,2018-19,Cincinnati Cyclones,ECHL,58,6,13,82,24
268659,2013-14,Barrie Colts Minor Midget AAA,ETAMMHL,30,11,16,38,0
268659,2014-15,"Barrie Colts Midget AAA 
“A”",ETAHL,50,16,25,172,0
268659,2014-15,Stouffville Spirit,OJHL,5,0,1,0,0
268659,2015-16,Barrie Colts,OHL,28,1,3,13,10
268659,2016-17,Barrie Colts,OHL,29,5,9,31,-10
268659,2016-17,Oshawa Generals,OHL,33,7,11,50,10
268659,2017-18,"Oshawa Generals 
“A”",OHL,67,16,35,64,13
268659,2018-19,Oshawa Generals,OHL,35,8,19,44,5
268659,2018-19,Niagara IceDogs,OHL,30,3,26,30,-4
23464,2003-04,Amos Forestiers,QMAAA,37,4,10,66,0
23464,2004-05,"Amos Forestiers 
“A”",QMAAA,41,5,25,92,0
23464,2005-06,Gatineau Olympiques,QMJHL,56,1,13,72,8
23464,2006-07,Gatineau Olympiques,QMJHL,33,0,9,76,10
23464,2006-07,Prince Edward Island Rocket,QMJHL,33,4,11,55,13
23464,2007-08,"Prince Edward Island Rocket 
“A”",QMJHL,40,0,11,80,-1
23464,2007-08,Rimouski Océanic,QMJHL,24,3,6,28,5
23464,2008-09,Rouyn-Noranda Huskies,QMJHL,62,17,45,104,-25
23464,2009-10,Dalhousie Univ.,USports,27,2,10,46,-13
23464,2010-11,Dalhousie Univ.,USports,25,2,13,62,2
23464,2011-12,Dalhousie Univ.,USports,24,3,6,57,-6
23464,2012-13,Dalhousie Univ.,USports,11,1,3,25,-6
23464,2013-14,Dalhousie Univ.,USports,0,0,0,0,0
33935,2011-12,Tri-City Americans,WHL,64,11,16,33,0
33935,2012-13,Tri-City Americans,WHL,66,21,45,36,9
33935,2016-17,Hartford Wolf Pack,AHL,44,2,4,20,-12
33935,2017-18,Greenville Swamp Rabbits,ECHL,2,1,1,0,2
213821,2011-12,Trois-Lacs Eagles Bantam AA,LSLBAA,28,4,2,10,0
213821,2011-12,École De L'Odyssée M17 Maj,LHPS M17 Majeur,26,4,3,0,0
213821,2012-13,Saint-Eustache Vikings,QMAAA,38,9,17,58,0
213821,2013-14,Baie-Comeau Drakkar,QMJHL,54,6,19,47,15
213821,2014-15,Baie-Comeau Drakkar,QMJHL,44,10,24,99,-3
213821,2015-16,"Baie-Comeau Drakkar 
“A”",QMJHL,25,8,8,54,-12
213821,2015-16,Gatineau Olympiques,QMJHL,28,5,12,38,10
213821,2016-17,Gatineau Olympiques,QMJHL,26,7,14,38,0
213821,2016-17,Charlottetown Islanders,QMJHL,35,9,17,35,33
213821,2017-18,San Antonio Rampage,AHL,58,5,12,59,-16
