player_name,gp,g,a,pim,plus_minus
Troy Brouwer (RW/LW), 72 , 49 , 53 , 122 , 37 
Adam Cracknell (RW/C), 72 , 42 , 51 , 85 , 29 
Ian McDonald (RW), 71 , 37 , 55 , 16 , 9 
Dustin Boyd (C/LW), 64 , 48 , 42 , 34 , 27 
Justin Keller (LW), 72 , 51 , 37 , 82 , 12 
Blair Jones (C/RW), 72 , 35 , 50 , 85 , 26 
Devin Setoguchi (RW), 65 , 36 , 47 , 69 , 17 
Darren Helm (C/LW), 70 , 41 , 38 , 37 , 18 
John Lammers (LW), 70 , 38 , 37 , 25 , 16 
Ryan Russell (LW/RW), 72 , 33 , 42 , 30 , 17 
Chad Klassen (C), 68 , 27 , 48 , 61 , 1 
 Spokane Chiefs , 40 , 14 , 29 , 51 , -4 
 Saskatoon Blades , 28 , 13 , 19 , 10 , 5 
Colton Yellow Horn (LW), 67 , 25 , 50 , 63 , 6 
Blake Comeau (LW/RW), 60 , 21 , 53 , 85 , 15 
Eric Hunter (C), 71 , 40 , 32 , 125 , 11 
Kenndal McArdle (LW), 72 , 28 , 43 , 135 , 23 
Mitch Bartley (LW), 71 , 31 , 36 , 44 , 26 
Brandon Dubinsky (C/LW), 51 , 21 , 46 , 98 , 12 
Ashton Rome (RW), 65 , 30 , 34 , 130 , 5 
 Red Deer Rebels , 14 , 11 , 6 , 27 , -3 
 Kamloops Blazers , 51 , 19 , 28 , 103 , 8 
Jannik Hansen (RW/LW), 64 , 24 , 40 , 67 , 2 
Nick Drazenovic (C), 71 , 30 , 33 , 51 , 1 
Aaron Bader (LW), 69 , 24 , 39 , 41 , 9 
Paul Albers (LW/D), 70 , 17 , 45 , 33 , 38 
Codey Burki (C), 70 , 27 , 34 , 69 , 5 
Derek Ryan (C/RW), 72 , 24 , 37 , 50 , -6 
Ben Maxwell (C/LW), 69 , 28 , 32 , 52 , 17 
Zach Hamill (C/RW), 53 , 21 , 38 , 28 , 18 
Shaun Heshka (D), 66 , 10 , 49 , 91 , -3 
Petr Kalus (LW/RW), 60 , 36 , 22 , 87 , -3 
Jason Beeman (RW), 60 , 28 , 30 , 115 , -7 
Jonathan Bubnick (RW), 69 , 27 , 31 , 56 , -13 
Peter Mueller (C/W), 52 , 26 , 32 , 44 , 4 
Garrett Festerling (C), 72 , 22 , 36 , 51 , 12 
Matt Robinson (LW), 69 , 35 , 22 , 97 , 2 
Dale Mahovsky (RW), 69 , 22 , 35 , 90 , 10 
Riley Holzapfel (C), 64 , 19 , 38 , 46 , 35 
Wacey Rabbit (C), 64 , 28 , 28 , 45 , 12 
Kyle Ross (C), 69 , 25 , 31 , 58 , 6 
Kyle Chipchura (C/W), 59 , 21 , 34 , 81 , -7 
Zdenek Bahensky (RW), 65 , 19 , 36 , 76 , 13 
Björn Svensson (LW/RW), 62 , 17 , 38 , 20 , 20 
Cody Franson (D), 71 , 15 , 40 , 61 , 18 
Mike Card (D), 64 , 12 , 43 , 103 , 16 
Roman Psurny (C/LW), 66 , 24 , 30 , 54 , 13 
Tim Kraus (C), 52 , 21 , 33 , 59 , 32 
Brodie Dupont (LW/C), 72 , 30 , 23 , 123 , 6 
Mark Derlago (LW), 72 , 28 , 25 , 47 , 10 
Troy Bodie (RW/LW), 72 , 28 , 25 , 117 , 12 
Ned Lukacevic (C/LW), 63 , 25 , 28 , 71 , -22 
Ryan White (C/RW), 72 , 20 , 33 , 121 , 10 
Kyle Bailey (C), 66 , 18 , 35 , 145 , -5 
Alexander Edler (D), 62 , 13 , 40 , 44 , 21 
Logan Stephenson (D), 71 , 10 , 43 , 162 , 5 
Joe Barnes (C), 55 , 25 , 27 , 55 , 11 
Michal Repik (RW), 69 , 24 , 28 , 55 , 19 
Denis Tolpeko (LW/RW), 53 , 20 , 31 , 66 , 3 
Jared Walker (LW), 73 , 19 , 32 , 80 , 0 
 Red Deer Rebels , 19 , 5 , 8 , 20 , -5 
