EP_href,EP_id,first,last,league,position,season,gp,g,a,plus_minus
https://www.eliteprospects.com/player/10669/troy-brouwer,10669,troy,brouwer,whl,RW/LW,2005-2006,72,49,53,37.0
https://www.eliteprospects.com/player/14459/adam-cracknell,14459,adam,cracknell,whl,RW/C,2005-2006,72,42,51,29.0
https://www.eliteprospects.com/player/67658/ian-mcdonald,67658,ian,mcdonald,whl,RW,2005-2006,71,37,55,9.0
https://www.eliteprospects.com/player/9191/dustin-boyd,9191,dustin,boyd,whl,C/LW,2005-2006,64,48,42,27.0
https://www.eliteprospects.com/player/12026/justin-keller,12026,justin,keller,whl,LW,2005-2006,72,51,37,12.0
https://www.eliteprospects.com/player/11041/blair-jones,11041,blair,jones,whl,C/RW,2005-2006,72,35,50,26.0
https://www.eliteprospects.com/player/9360/devin-setoguchi,9360,devin,setoguchi,whl,RW,2005-2006,65,36,47,17.0
https://www.eliteprospects.com/player/10438/darren-helm,10438,darren,helm,whl,C/LW,2005-2006,70,41,38,18.0
https://www.eliteprospects.com/player/9487/john-lammers,9487,john,lammers,whl,LW,2005-2006,70,38,37,16.0
https://www.eliteprospects.com/player/11056/ryan-russell,11056,ryan,russell,whl,LW/RW,2005-2006,72,33,42,17.0
https://www.eliteprospects.com/player/33153/chad-klassen,33153,chad,klassen,whl,C,2005-2006,68,27,48,1.0
https://www.eliteprospects.com/player/9365/colton-yellow-horn,9365,colton,yellow,whl,LW,2005-2006,67,25,50,6.0
https://www.eliteprospects.com/player/9190/blake-comeau,9190,blake,comeau,whl,LW/RW,2005-2006,60,21,53,15.0
https://www.eliteprospects.com/player/9492/eric-hunter,9492,eric,hunter,whl,C,2005-2006,71,40,32,11.0
https://www.eliteprospects.com/player/10440/kenndal-mcardle,10440,kenndal,mcardle,whl,LW,2005-2006,72,28,43,23.0
https://www.eliteprospects.com/player/127537/mitch-bartley,127537,mitch,bartley,whl,LW,2005-2006,71,31,36,26.0
https://www.eliteprospects.com/player/11024/brandon-dubinsky,11024,brandon,dubinsky,whl,C/LW,2005-2006,51,21,46,12.0
https://www.eliteprospects.com/player/10637/ashton-rome,10637,ashton,rome,whl,RW,2005-2006,65,30,34,5.0
https://www.eliteprospects.com/player/2368/jannik-hansen,2368,jannik,hansen,whl,RW/LW,2005-2006,64,24,40,2.0
https://www.eliteprospects.com/player/11637/nick-drazenovic,11637,nick,drazenovic,whl,C,2005-2006,71,30,33,1.0
https://www.eliteprospects.com/player/245861/aaron-bader,245861,aaron,bader,whl,LW,2005-2006,69,24,39,9.0
https://www.eliteprospects.com/player/14940/paul-albers,14940,paul,albers,whl,LW/D,2005-2006,70,17,45,38.0
https://www.eliteprospects.com/player/10434/codey-burki,10434,codey,burki,whl,C,2005-2006,70,27,34,5.0
https://www.eliteprospects.com/player/67660/derek-ryan,67660,derek,ryan,whl,C/RW,2005-2006,72,24,37,-6.0
https://www.eliteprospects.com/player/9337/ben-maxwell,9337,ben,maxwell,whl,C/LW,2005-2006,69,28,32,17.0
https://www.eliteprospects.com/player/11053/zach-hamill,11053,zach,hamill,whl,C/RW,2005-2006,53,21,38,18.0
https://www.eliteprospects.com/player/8606/shaun-heshka,8606,shaun,heshka,whl,D,2005-2006,66,10,49,-3.0
https://www.eliteprospects.com/player/9231/petr-kalus,9231,petr,kalus,whl,LW/RW,2005-2006,60,36,22,-3.0
https://www.eliteprospects.com/player/14843/jason-beeman,14843,jason,beeman,whl,RW,2005-2006,60,28,30,-7.0
https://www.eliteprospects.com/player/47991/jonathan-bubnick,47991,jonathan,bubnick,whl,RW,2005-2006,69,27,31,-13.0
https://www.eliteprospects.com/player/9220/peter-mueller,9220,peter,mueller,whl,C/W,2005-2006,52,26,32,4.0
https://www.eliteprospects.com/player/11628/garrett-festerling,11628,garrett,festerling,whl,C,2005-2006,72,22,36,12.0
https://www.eliteprospects.com/player/15886/matt-robinson,15886,matt,robinson,whl,LW,2005-2006,69,35,22,2.0
https://www.eliteprospects.com/player/67665/dale-mahovsky,67665,dale,mahovsky,whl,RW,2005-2006,69,22,35,10.0
https://www.eliteprospects.com/player/11059/riley-holzapfel,11059,riley,holzapfel,whl,C,2005-2006,64,19,38,35.0
https://www.eliteprospects.com/player/11593/wacey-rabbit,11593,wacey,rabbit,whl,C,2005-2006,64,28,28,12.0
https://www.eliteprospects.com/player/96328/kyle-ross,96328,kyle,ross,whl,C,2005-2006,69,25,31,6.0
https://www.eliteprospects.com/player/9192/kyle-chipchura,9192,kyle,chipchura,whl,C/W,2005-2006,59,21,34,-7.0
https://www.eliteprospects.com/player/9235/zdenek-bahensky,9235,zdenek,bahensky,whl,RW,2005-2006,65,19,36,13.0
https://www.eliteprospects.com/player/1296/bjorn-svensson,1296,bjorn,svensson,whl,LW/RW,2005-2006,62,17,38,20.0
https://www.eliteprospects.com/player/10431/cody-franson,10431,cody,franson,whl,D,2005-2006,71,15,40,18.0
https://www.eliteprospects.com/player/10350/mike-card,10350,mike,card,whl,D,2005-2006,64,12,43,16.0
https://www.eliteprospects.com/player/9620/roman-psurny,9620,roman,psurny,whl,C/LW,2005-2006,66,24,30,13.0
https://www.eliteprospects.com/player/11596/tim-kraus,11596,tim,kraus,whl,C,2005-2006,52,21,33,32.0
https://www.eliteprospects.com/player/11452/brodie-dupont,11452,brodie,dupont,whl,LW/C,2005-2006,72,30,23,6.0
https://www.eliteprospects.com/player/11711/mark-derlago,11711,mark,derlago,whl,LW,2005-2006,72,28,25,10.0
https://www.eliteprospects.com/player/11723/troy-bodie,11723,troy,bodie,whl,RW/LW,2005-2006,72,28,25,12.0
https://www.eliteprospects.com/player/17817/ned-lukacevic,17817,ned,lukacevic,whl,C/LW,2005-2006,63,25,28,-22.0
https://www.eliteprospects.com/player/11050/ryan-white,11050,ryan,white,whl,C/RW,2005-2006,72,20,33,10.0
https://www.eliteprospects.com/player/11674/kyle-bailey,11674,kyle,bailey,whl,C,2005-2006,66,18,35,-5.0
https://www.eliteprospects.com/player/4081/alexander-edler,4081,alexander,edler,whl,D,2005-2006,62,13,40,21.0
https://www.eliteprospects.com/player/11474/logan-stephenson,11474,logan,stephenson,whl,D,2005-2006,71,10,43,5.0
https://www.eliteprospects.com/player/12635/joe-barnes,12635,joe,barnes,whl,C,2005-2006,55,25,27,11.0
https://www.eliteprospects.com/player/10481/michal-repik,10481,michal,repik,whl,RW,2005-2006,69,24,28,19.0
https://www.eliteprospects.com/player/11407/denis-tolpeko,11407,denis,tolpeko,whl,LW/RW,2005-2006,53,20,31,3.0
https://www.eliteprospects.com/player/11639/jared-walker,11639,jared,walker,whl,LW,2005-2006,73,19,32,0.0
https://www.eliteprospects.com/player/11057/zach-boychuk,11057,zach,boychuk,whl,C/LW,2005-2006,64,18,33,3.0
https://www.eliteprospects.com/player/48328/colin-patterson,48328,colin,patterson,whl,LW,2005-2006,71,18,33,15.0
https://www.eliteprospects.com/player/8494/michael-grabner,8494,michael,grabner,whl,RW/LW,2005-2006,67,36,14,-2.0
https://www.eliteprospects.com/player/67661/brian-woolger,67661,brian,woolger,whl,LW,2005-2006,68,23,27,-9.0
https://www.eliteprospects.com/player/9357/adam-hobson,9357,adam,hobson,whl,W/C,2005-2006,72,23,27,-9.0
https://www.eliteprospects.com/player/75830/casey-lee,75830,casey,lee,whl,C,2005-2006,68,20,30,8.0
https://www.eliteprospects.com/player/67671/mike-hellyer,67671,mike,hellyer,whl,RW,2005-2006,72,18,32,-8.0
https://www.eliteprospects.com/player/11630/brett-sutter,11630,brett,sutter,whl,LW/C,2005-2006,73,17,33,-13.0
https://www.eliteprospects.com/player/11666/derek-dorsett,11666,derek,dorsett,whl,RW/LW,2005-2006,68,25,23,14.0
https://www.eliteprospects.com/player/17894/roman-wick,17894,roman,wick,whl,LW/RW,2005-2006,61,21,27,-19.0
https://www.eliteprospects.com/player/9489/dane-byers,9489,dane,byers,whl,LW/RW,2005-2006,71,21,27,-6.0
https://www.eliteprospects.com/player/11058/mitch-fadden,11058,mitch,fadden,whl,C,2005-2006,68,20,28,-3.0
https://www.eliteprospects.com/player/33154/torrie-wheat,33154,torrie,wheat,whl,RW,2005-2006,43,16,32,5.0
https://www.eliteprospects.com/player/9486/kris-versteeg,9486,kris,versteeg,whl,RW/LW,2005-2006,71,16,32,-6.0
https://www.eliteprospects.com/player/97670/brett-robertson,97670,brett,robertson,whl,C,2005-2006,66,22,25,4.0
https://www.eliteprospects.com/player/15738/kevin-undershute,15738,kevin,undershute,whl,LW,2005-2006,67,20,27,9.0
https://www.eliteprospects.com/player/9188/kris-russell,9188,kris,russell,whl,D,2005-2006,55,14,33,8.0
https://www.eliteprospects.com/player/9482/michael-funk,9482,michael,funk,whl,D,2005-2006,70,11,36,-8.0
https://www.eliteprospects.com/player/33324/chris-ray,33324,chris,ray,whl,C,2005-2006,71,24,22,5.0
https://www.eliteprospects.com/player/24304/curtis-billsten,24304,curtis,billsten,whl,RW,2005-2006,65,22,24,10.0
https://www.eliteprospects.com/player/9339/brandon-sutter,9339,brandon,sutter,whl,C,2005-2006,68,22,24,-7.0
https://www.eliteprospects.com/player/21595/marc-desloges,21595,marc,desloges,whl,C,2005-2006,72,20,26,-27.0
https://www.eliteprospects.com/player/11685/brock-nixon,11685,brock,nixon,whl,LW/C,2005-2006,72,26,19,
https://www.eliteprospects.com/player/9498/aaron-gagnon,9498,aaron,gagnon,whl,C/RW,2005-2006,62,24,21,8.0
https://www.eliteprospects.com/player/12505/spencer-machacek,12505,spencer,machacek,whl,RW,2005-2006,70,23,22,14.0
https://www.eliteprospects.com/player/9245/juraj-gracik,9245,juraj,gracik,whl,LW,2005-2006,53,22,23,1.0
https://www.eliteprospects.com/player/15397/justin-bernhardt,15397,justin,bernhardt,whl,C,2005-2006,61,22,23,-5.0
https://www.eliteprospects.com/player/11055/steve-dasilva,11055,steve,dasilva,whl,RW,2005-2006,68,21,24,11.0
https://www.eliteprospects.com/player/102754/kyle-pess,102754,kyle,pess,whl,LW,2005-2006,65,20,25,8.0
https://www.eliteprospects.com/player/12390/t.j.-mulock,12390,,,whl,RW,2005-2006,59,16,29,-2.0
https://www.eliteprospects.com/player/9344/logan-pyett,9344,logan,pyett,whl,D,2005-2006,71,10,35,-14.0
https://www.eliteprospects.com/player/14502/daine-todd,14502,daine,todd,whl,D,2005-2006,59,14,30,14.0
https://www.eliteprospects.com/player/11665/david-schlemko,11665,david,schlemko,whl,D,2005-2006,69,9,35,17.0
https://www.eliteprospects.com/player/11688/reid-jorgensen,11688,reid,jorgensen,whl,C,2005-2006,55,24,19,
https://www.eliteprospects.com/player/1715/fredrik-pettersson,1715,fredrik,pettersson,whl,RW,2005-2006,59,22,21,15.0
https://www.eliteprospects.com/player/61951/teegan-moore,61951,teegan,moore,whl,LW,2005-2006,68,20,23,9.0
https://www.eliteprospects.com/player/15545/chris-stevens,15545,chris,stevens,whl,LW,2005-2006,72,19,24,14.0
https://www.eliteprospects.com/player/14507/tyler-dittmer,14507,tyler,dittmer,whl,LW,2005-2006,70,18,25,1.0
https://www.eliteprospects.com/player/9252/ladislav-scurko,9252,ladislav,scurko,whl,C/LW,2005-2006,64,17,26,6.0
https://www.eliteprospects.com/player/14005/michael-busto,14005,michael,busto,whl,D,2005-2006,69,8,35,24.0
https://www.eliteprospects.com/player/54196/kyle-lamb,54196,kyle,lamb,whl,RW,2005-2006,72,26,16,23.0
https://www.eliteprospects.com/player/18032/roman-tomanek,18032,roman,tomanek,whl,RW,2005-2006,54,17,25,6.0
https://www.eliteprospects.com/player/23846/kyle-deck,23846,kyle,deck,whl,D,2005-2006,62,4,38,-1.0
https://www.eliteprospects.com/player/12536/justin-mccrae,12536,justin,mccrae,whl,C,2005-2006,71,17,24,-9.0
https://www.eliteprospects.com/player/11671/kris-hogg,11671,kris,hogg,whl,LW,2005-2006,71,20,20,-19.0
https://www.eliteprospects.com/player/11662/jordan-knackstedt,11662,jordan,knackstedt,whl,RW,2005-2006,72,12,28,-2.0
https://www.eliteprospects.com/player/10406/brett-carson,10406,brett,carson,whl,D,2005-2006,72,11,29,13.0
https://www.eliteprospects.com/player/9490/jeff-schultz,9490,jeff,schultz,whl,D,2005-2006,68,7,33,20.0
https://www.eliteprospects.com/player/18035/mark-olafson,18035,mark,olafson,whl,RW,2005-2006,60,18,21,-25.0
https://www.eliteprospects.com/player/10479/daniel-rakos,10479,daniel,rakos,whl,C/LW,2005-2006,70,16,23,-14.0
https://www.eliteprospects.com/player/18026/matt-schneider,18026,matt,schneider,whl,C,2005-2006,58,25,13,-8.0
https://www.eliteprospects.com/player/10235/gilbert-brule,10235,gilbert,brule,whl,C/RW,2005-2006,27,23,15,5.0
https://www.eliteprospects.com/player/9349/levi-nelson,9349,levi,nelson,whl,C,2005-2006,63,21,17,-17.0
https://www.eliteprospects.com/player/16851/derek-leblanc,16851,derek,leblanc,whl,C,2005-2006,67,17,21,9.0
https://www.eliteprospects.com/player/13618/ray-macias,13618,ray,macias,whl,D/RW,2005-2006,68,12,26,0.0
https://www.eliteprospects.com/player/4681/sami-sandell,4681,sami,sandell,whl,LW/C,2005-2006,54,11,27,4.0
https://www.eliteprospects.com/player/96329/jesse-zetariuk,96329,jesse,zetariuk,whl,D,2005-2006,72,7,31,20.0
https://www.eliteprospects.com/player/11659/steven-gillen,11659,steven,gillen,whl,C,2005-2006,71,15,22,-1.0
https://www.eliteprospects.com/player/13659/stanislav-balan,13659,stanislav,balan,whl,C,2005-2006,67,14,23,-12.0
https://www.eliteprospects.com/player/11594/j.d.-watt,11594,,,whl,RW,2005-2006,58,8,29,8.0
https://www.eliteprospects.com/player/9332/ty-wishart,9332,ty,wishart,whl,D,2005-2006,70,5,32,12.0
https://www.eliteprospects.com/player/11595/a.j.-thelen,11595,,,whl,D,2005-2006,72,13,23,-30.0
https://www.eliteprospects.com/player/9625/ondrej-fiala,9625,ondrej,fiala,whl,C,2005-2006,51,21,14,4.0
https://www.eliteprospects.com/player/4131/aki-seitsonen,4131,aki,seitsonen,whl,C,2005-2006,66,20,15,-14.0
https://www.eliteprospects.com/player/11620/bud-holloway,11620,bud,holloway,whl,RW,2005-2006,72,21,13,8.0
https://www.eliteprospects.com/player/12521/drayson-bowman,12521,drayson,bowman,whl,W/C,2005-2006,72,17,17,-10.0
https://www.eliteprospects.com/player/12388/chris-durand,12388,chris,durand,whl,C,2005-2006,71,14,20,-3.0
https://www.eliteprospects.com/player/13594/ian-duval,13594,ian,duval,whl,C,2005-2006,64,11,23,-3.0
https://www.eliteprospects.com/player/67659/kyle-fecho,67659,kyle,fecho,whl,D,2005-2006,65,4,30,26.0
https://www.eliteprospects.com/player/11705/keegan-dansereau,11705,keegan,dansereau,whl,RW,2005-2006,60,16,17,18.0
https://www.eliteprospects.com/player/3202/lauris-darzins,3202,lauris,darzins,whl,LW,2005-2006,47,13,20,6.0
https://www.eliteprospects.com/player/11658/brady-calla,11658,brady,calla,whl,RW/D,2005-2006,66,8,25,7.0
https://www.eliteprospects.com/player/9334/craig-schira,9334,craig,schira,whl,D,2005-2006,71,5,28,-3.0
https://www.eliteprospects.com/player/13621/chad-greenan,13621,chad,greenan,whl,D,2005-2006,66,4,29,23.0
https://www.eliteprospects.com/player/250818/myles-zimmer,250818,myles,zimmer,whl,F,2005-2006,69,20,12,-11.0
https://www.eliteprospects.com/player/11741/cam-cunning,11741,cam,cunning,whl,LW,2005-2006,40,19,13,7.0
https://www.eliteprospects.com/player/15124/jeremy-schenderling,15124,jeremy,schenderling,whl,C,2005-2006,59,19,13,-2.0
https://www.eliteprospects.com/player/56403/riley-merkley,56403,riley,merkley,whl,C,2005-2006,59,12,20,9.0
https://www.eliteprospects.com/player/15336/brent-howarth,15336,brent,howarth,whl,LW,2005-2006,68,12,19,4.0
https://www.eliteprospects.com/player/12385/michael-sauer,12385,michael,sauer,whl,D,2005-2006,59,8,23,-1.0
https://www.eliteprospects.com/player/9232/tomas-kudelka,9232,tomas,kudelka,whl,D,2005-2006,64,6,25,-2.0
https://www.eliteprospects.com/player/11605/roman-teslyuk,11605,roman,teslyuk,whl,D,2005-2006,72,14,16,9.0
https://www.eliteprospects.com/player/31914/luke-hunter,31914,luke,hunter,whl,C,2005-2006,64,13,17,-27.0
https://www.eliteprospects.com/player/33569/brennen-wray,33569,brennen,wray,whl,C,2005-2006,70,12,18,-2.0
https://www.eliteprospects.com/player/117429/evan-haw,117429,evan,haw,whl,D,2005-2006,65,10,20,0.0
https://www.eliteprospects.com/player/32952/devin-featherstone,32952,devin,featherstone,whl,D,2005-2006,72,7,23,-6.0
https://www.eliteprospects.com/player/10405/kyle-cumiskey,10405,kyle,cumiskey,whl,D,2005-2006,51,6,24,15.0
