,_id,country,date_of_birth,ep_id,full_name,height,hometown,position,scout_text,shoots,weight,youth_team
0,5dd2e1e37abba948d5f46233,Canada,"Mar 03, 1986",9484,Kyle Wharton,191,Ottawa,D,,L,94,-
1,5dd2e1e57abba948d5f46243,Canada,"Jun 04, 1993",56631,Jonathan Lavoie,178,Saumon,LW,,L,78,-
2,5dd2e1e67abba948d5f4624a,Canada,"Apr 16, 1987",28646,Justin Saulnier,180,Halifax,C,,L,86,-
3,5dd2e1e77abba948d5f46252,Canada,"Aug 18, 1990",18608,Mike Reddington,183,Port,D,,R,92,-
4,5dd2e1e87abba948d5f4625f,Canada,"Jul 09, 1999",267631,Jérémy Fortin,183,Dolbeau,LW,,L,84,-
5,5dd2e1e97abba948d5f46268,Canada,"Jan 13, 2000",271713,Joe Veleno,186,Montréal,C,,L,88,AHM Lac St-Louis
6,5dd2e1eb7abba948d5f46271,Canada,"Apr 20, 1995",189579,Anthony DiFruscia,180,Thorold,LW,,L,89,-
7,5dd2e1ec7abba948d5f4627c,Canada,"Sep 02, 1989",13821,Derek Hulak,184,Saskatoon,LW,,L,84,-
8,5dd2e1ed7abba948d5f46290,Canada,"Mar 25, 1997",225098,TJ Fergus,180,Oakville,D,,L,82,-
9,5dd2e1ee7abba948d5f4629c,Canada,"May 29, 1986",14672,Corey Courchene,185,NaN,LW,,L,92,-
10,5dd2e1ef7abba948d5f462a7,Canada,"Sep 10, 1988",10157,Jordan Staal,193,Thunder,C,,L,00,Thunder Bay Kings
11,5dd2e1f07abba948d5f462ba,Slovakia,"Nov 18, 1999",335802,Michal Ivan,188,Ziar,D,,L,86,HKM Zvolen
12,5dd2e1f27abba948d5f462be,Canada,"Mar 19, 1988",55235,Kelly Friesen,183,Waldheim,D,,L,84,-
13,5dd2e1f47abba948d5f462ca,Canada,"Sep 22, 1989",18630,Adam Zamec,185,London,LW,,L,85,-
14,5dd2e1f57abba948d5f462d4,Czech,"Dec 31, 1988",10481,Michal Repik,179,Vlasim,RW,,R,87,HC Sparta Praha
15,5dd2e1f67abba948d5f462e0,USA,"May 13, 1997",177694,Cameron Askew,191,Boston,C/RW,,R,95,-
16,5dd2e1f97abba948d5f462ee,Canada,"May 06, 1996",128505,Daniel Audette,175,Blainville,C,,L,77,AHM Blainville
17,5dd2e1fa7abba948d5f462fc,Canada,"Feb 23, 1993",88674,Thomas Flynn,188,Souris,RW,,R,81,-
18,5dd2e1fb7abba948d5f46301,Canada,"Feb 13, 1999",297758,Owen Hardy,185,Nanaimo,C/LW,,L,91,-
19,5dd2e1fd7abba948d5f4630e,Canada,"Feb 19, 1986",11474,Logan Stephenson,191,Saskatoon,D,,L,93,Rosetown Redwings
20,5dd2e1fe7abba948d5f4631d,Canada,"Mar 08, 1985",150627,Ryan Hastings,191,Toronto,D,,L,02,-
21,5dd2e1ff7abba948d5f46324,Canada,"Dec 06, 1991",73778,Julian Melchiori,195,Richmond,D,,L,01,-
22,5dd2e2007abba948d5f46338,Canada,"Apr 22, 1994",84743,Sawyer Lange,183,Prince,D,,R,88,-
23,5dd2e2007abba948d5f46345,Canada,"Aug 12, 1995",101648,Trevor Cox,173,Surrey,LW,,L,75,-
24,5dd2e2017abba948d5f46353,Canada,"Feb 20, 1989",37687,Matt Seegmiller,186,Guelph,D,,L,90,-
25,5dd2e2027abba948d5f4635a,Canada,"Jan 01, 1987",9360,Devin Setoguchi,183,Taber,RW,,R,93,-
26,5dd2e2037abba948d5f4636e,Canada,"Aug 17, 1996",120638,Dysin Mayo,188,Victoria,D,,R,88,Juan de Fuca MHA
27,5dd2e2057abba948d5f4637e,Canada,"Jan 20, 1988",149152,Miles Cope,191,Mississauga,D,,L,88,-
28,5dd2e2067abba948d5f46385,Canada,"Feb 18, 1990",11318,Yann Sauvé,191,Montréal,D,,L,96,-
29,5dd2e2077abba948d5f4639b,Canada,"Apr 26, 1996",153002,Matt Revel,180,Abbotsford,C,,R,85,-
30,5dd2e20d7abba948d5f463a9,Finland,"Oct 06, 1998",221525,Juuso Välimäki,187,Nokia,D,,L,93,NoPy
31,5dd2e20e7abba948d5f463b0,Slovakia,"Jan 27, 1987",11668,Jakub Rumpel,173,Hrnciarovce,RW,,R,77,-
32,5dd2e2107abba948d5f463b2,Canada,"Aug 27, 1994",88918,Michael Abbott,180,John,D,,R,79,-
33,5dd2e2117abba948d5f463b9,Canada,"Mar 22, 1997",154486,Grayson Pawlenchuk,180,Edmonton,C/LW,,L,84,-
34,5dd2e2127abba948d5f463c8,Canada,"Feb 22, 1997",165067,Alexandre Drapeau,178,Mont,D,,L,96,-
35,5dd2e2137abba948d5f463d9,Canada,"Mar 01, 1993",73587,Cédric Leblanc,183,Saint,RW,,R,86,-
36,5dd2e2157abba948d5f463e3,Slovakia,"Mar 06, 1987",11598,Mario Bliznak,184,Trencin,C,,L,90,HK Dubnica
37,5dd2e2167abba948d5f463ec,U,"Jul 31, 1992",45479,Dallas Ehrhardt,193,Calgary,D,,L,02,-
38,5dd2e2177abba948d5f463f9,Canada,"Jun 20, 1993",117632,Cody Brown,183,Wasaga,RW,,R,75,Wasaga Beach MHA
39,5dd2e2187abba948d5f46405,Canada,"Apr 16, 1994",128516,Gabriel Fortin,180,Pascal,RW/C,,R,73,-
40,5dd2e21a7abba948d5f4640f,Canada,"Aug 07, 1987",232170,Frédéric Roy,185,NaN,F,,-,84,-
41,5dd2e21b7abba948d5f46417,Canada,"Jul 08, 1996",223475,Zack MacEwen,191,Charlottetown,RW,,R,93,-
