,ep_id,scout_text
3,155239,"Father: Brad Jones
Brother: Max Jones
Cousin: Harrison Caines"
6,33935,Father: Johan Strömwall
7,213821,"A smooth skating defenceman who can put up points, utilizing his strength behind his shot, and plays with an edge. Has very good awareness on the ice, and notices possible scoring chances before they happen. Very intelligent defensively and makes high percentage decisions in his own end. When at the top of his game, Nicolas Meloche can be a game-changing, physical two-way defenceman. (Curtis Joe, EP 2014)


Brother: Samuel Meloche"
8,45573,Brother: Brendan Wise
9,120107,Brother: Drew Warkentine
11,13595,"McMillan is a hard working winger. Has decent hands and hockey sense, but could improve his skating speed.- Erik K. Piri, EP"
15,119462,Surname spelled/listed as Duppereault in 2011 WHL bantam draft info
17,37973,"Brothers: Chris Dodero, Chad Dodero"
20,213461,Brother: Gabriel Fortier
22,24653,"Beck is a big winger with a good shot and offensive instincts. At his best when he goes to the net. Needs to improve his defensive game and skating ability.- Erik K. Piri, EP (2012)"
23,9337,"Maxwell is a skilled two-way center. Is very solid defensively and reads the play well. Prefers to pass rather than shoot himself.- Erik K. Piri, EP"
25,38026,Also has been listed as a R handed shot.
26,197267,Team Staff profile of Kyle Tibbo also available
28,39749,Team Staff profile of Eddy Martin-Whalen also available
29,189016,Father: Troy Mallette
32,15398,"Stanton has all-around ability, but focuses on defense first. He likes to play a rough game, but can also put up some points on offense.- Erik K. Piri, EP"
35,88677,Brother: Cody Milan
37,164249,Also listed as a R handed shot.
42,286608,"Father: Michael Barlage

Uncle: Jonathon Barlage"
43,15228,"Ritter is a big winger who goes straight to the net. Hard to knock off the puck. Has decent scoring instincts, but not very good hands.- Ulf Andersson, EP"
44,60726,"Brother: Colton Stephenson
Uncle: Bob Stephenson
Cousins: Joey Kocur, Logan Stephenson & Shay Stephenson"
45,201245,"Brothers: Jordan Kaspick, Mason Kaspick"
46,32758,"A skilled center with great on-ice vision, Macek is a very good skater. He competes hard and is a terrific playmaker. Excels on the powerplay.- Erik K. Piri, EP (2012)"
49,56044,"Father: Petr Kalus

Brother: Petr Kalus"
50,37089,Brother : Maxime Langelier-Parent
52,31079,Brother: Dean McNabb
59,226615,"Martenet is yet another huge project defenceman in this years draft. Being 6'7, he has incredible reach and plays physical but smart. He improved lots as the year went on in London and turned into one of their go to defenders later in the year. As he continues to grow into this body he could be a monster. (Tyler Parchem, EP 2015)"
63,54190,Father: Dave Cameron
65,175894,"A complete all-around defenceman that makes the game look easy. Natural size and strength compliment his smooth stride. Very mobile skater who moves up and down the ice quickly, with acute recognition of puck and body position. His maturity and poise is actualized in his high-percentage decision-making, with and without the puck, as well as his proactive stick and body play. Very stable defensively and always takes his lane, but is quick to rush the puck up the ice as he recognizes and accounts for how much time his team is spending in their own end. All-in-all, a quick-thinking defenceman that, honestly lacking nothing, has the potential to develop into a reliable two-way defenceman. (Curtis Joe, EP 2016)
Family relations
Brother: Matias Niemeläinen"
67,354159,Brother: Félix Lafrance
69,76158,"Rookie impressed coaches with his willingness to partake in the physical aspects of the game, looks to add to his game next year."
70,76504,"Fawcett's 5'6 frame has held him back his entire junior career. He finally cracked Barrie's line up last season after being an effective Tier II player. Few thought he would be in the OHL for his OA season this year, but Fawcett uses his offensive instincts and hard work to continue to prove doubters wrong. (Tyler Parchem, EP, 2014)"
71,245610,Brother: Darren Raddysh
78,3693,"An average player when it comes to pure offense, technical skills and hockey sense. However, Ahlén is a very good role player who checks hard and always gives his best. Strong and quite physical and aggressive. Shows great attitude and determination on the ice and is a real team player.
Brother: Tommy Ahlén"
82,189461,"Father:  Brian Verbeek

Brother:  Hayden Verbeek

Uncles: Pat Verbeek, Gerard Verbeek & Tim Verbeek

Cousin: Kyle Verbeek"
83,45506,Brother: David Tot
85,18047,Father: Adolf Insam
95,15629,Father: Mike Eagles
97,64899,Wife: Alexandra Cipparone
98,76776,Sisters : Amy Locke | Erin Locke
102,33558,Brother: Carson Trask
103,45282,"Father: Alain Danault
Sister: Ann-Andrée Danault"
105,11308,Team Staff profile of Max Gordichuk also available
109,27945,"A lanky and offensively skilled forward with surprisingly quick feet. Olden is a creative player with good hockey sense and strong technical skills. A pretty productive player, that thrives on the pp unit, that will put up points on the board, but also contribute defensively. Has, however, some inconsistency issues and must bulk up. Brother: Cato Olden"
112,85322,"Possesses a rare combination of size and mobility. Christian Marti, with his skill and long reach, has perfect shutdown abilities. Battles hard along the boards and will not quit until he has the puck. Plays with a lot intensity, as Marti loves to throw out punishing hits. He needs to work on his consistency and try to avoid defensive woes. Has untapped offensive abilities and owns a booming shot from the point, which makes him a reliable option for a power play unit. (by Rafik Soliman, December 2013)"
113,9189,"Letang is an all-around talent on defense. He has world-class skating ability and terrific puckhandling skills. He's got fantastic hockey sense and oozes creativity from the backend. The right-handed shot can also play a physical game, despite not having a huge frame."
115,335688,Brother: Jason Desruisseaux
116,11645,Team Staff profile of Jeff May also available
118,283908,"Father: Petr Klíma
Grandfather: Josef Klíma
Twin brother: Kelly Klima"
122,200710,Brother: Haydn Fleury
123,13940,Brother: Thomas Brandl
126,4229,Step-Brother: Josh Kego
130,268666,"Chiodo is a 15th round pick of the Colts. He is a very small player who was one of the best players in Major Midget AAA last season. He is not draft eligible until next season. He has some talent and speed, but his size does pose challenges for him. He plays bottom 6 on Barrie (Tyler Parchem, EP 2016)"
131,11321,"Brothers: Chad McQuaid, Nathan McQuaid
Cousins: Alexander McQuaid, Chris McQuaid"
142,9293,Father: Marian Bezak
