,index,ep_id,games_played_14,goals_14,assists_14,penalty_min_14,plus_minus_14,league_14,team_14,games_played_15,goals_15,assists_15,penalty_min_15,plus_minus_15,league_15,team_15,games_played_16,goals_16,assists_16,penalty_min_16,plus_minus_16,league_16,team_16,games_played_17,goals_17,assists_17,penalty_min_17,plus_minus_17,league_17,team_17,league_25
0,0,11101,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,1,40288,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,NBPEIMHL,Cornwall Thunder Midget AAA,3.0,0.0,0.0,0.0,0.0,MJAHL,Charlottetown Abbies,0
2,2,106101,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.0,21.0,51.0,150.0,0.0,NSMMHL,Valley Wildcats,132.0,27.0,48.0,102.0,0.0,MJAHL,Amherst Ramblers,0
3,3,155239,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.0,6.0,15.0,54.0,0.0,T1EHL U16,Honeybaked U16,42.0,0.0,3.0,72.0,-2.0,USHL,Des Moines Buccaneers,ECHL
4,4,268659,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,90.0,33.0,48.0,114.0,0.0,ETAMMHL,Barrie Colts Minor Midget AAA,165.0,48.0,78.0,516.0,0.0,OJHL,Stouffville Spirit,0
5,5,23464,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,111.0,12.0,30.0,198.0,0.0,QMAAA,Amos Forestiers,123.0,15.0,75.0,276.0,0.0,QMAAA,"Amos Forestiers 
“A”",USports
6,6,33935,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
7,7,213821,0.0,0.0,0.0,0.0,0.0,0,0,162.0,24.0,15.0,30.0,0.0,LSLBAA,Trois-Lacs Eagles Bantam AA,114.0,27.0,51.0,174.0,0.0,QMAAA,Saint-Eustache Vikings,162.0,18.0,57.0,141.0,15.0,QMJHL,Baie-Comeau Drakkar,0
8,8,45573,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,ECHL
9,9,120107,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,6.0,0.0,SMHL,Prince Albert Mintos,93.0,48.0,69.0,66.0,0.0,SMHL,Prince Albert Mintos,123.0,3.0,9.0,18.0,-9.0,WHL,Moose Jaw Warriors,0
10,10,193114,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,USHS-MA,Pembroke High,105.0,15.0,36.0,72.0,0.0,NSMMHL,Cape Breton Tradesmen,105.0,12.0,63.0,90.0,0.0,NSMMHL,Cape Breton Tradesmen,0
11,11,13595,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,MMHL,Brandon Wheat Kings Midget AAA,132.0,54.0,60.0,108.0,0.0,MMHL,Brandon Wheat Kings Midget AAA,AHL
12,12,240108,0.0,0.0,0.0,0.0,0.0,0,0,6.0,0.0,0.0,0.0,0.0,AHMMPL,Waterloo Wolves Minor Midget AAA,291.0,69.0,174.0,759.0,12.0,AHMMPL,Waterloo Wolves Minor Midget AAA,177.0,0.0,12.0,180.0,-25.0,OHL,Windsor Spitfires,0
