,_id,ep_id,team,league,int_gp,int_g,int_a,int_pim,int_pm
0,5e0a6b62b796e999afd8b3f2,24322,USA U18,WJC-18,4,0,0,0,1
1,5e0a6b62b796e999afd8b3f3,24322,USA U17,WHC-17,6,0,2,-,
2,5e0a6b62b796e999afd8b3f4,24322,USA U18,WJC-18,6,0,0,0,1
3,5e0a6b66b796e999afd8b42f,101633,Canada Western U17,WHC-17,5,2,0,6,
4,5e0a6b73b796e999afd8b4c0,159029,Russia U20,WJC-20,7,0,3,6,-2
5,5e0a6b73b796e999afd8b4c1,159029,Russia U20 (all),International-Jr,13,1,3,12,
6,5e0a6b7cb796e999afd8b51c,41098,Czech Republic U18,WJC-18,6,1,1,0,-1
7,5e0a6b7cb796e999afd8b51d,41098,Czech Republic U18 (all),International-Jr,6,1,1,0,
8,5e0a6b7cb796e999afd8b51e,41098,"Czech Republic U20 
“A”",WJC-20,6,1,2,4,1
9,5e0a6b7cb796e999afd8b51f,41098,Czech Republic U20 (all),International-Jr,9,1,4,6,1
10,5e0a6b7cb796e999afd8b520,41098,Czech Republic (all),International,2,0,0,0,0
11,5e0a6b83b796e999afd8b560,15382,Canada Ontario U17,WHC-17,6,0,0,0,
12,5e0a6b87b796e999afd8b5b7,8526,Canada Western U17,WJC-17,6,3,6,14,
13,5e0a6b87b796e999afd8b5b8,8526,"Canada U18 
“A”",WJC-18,7,2,2,10,6
14,5e0a6b87b796e999afd8b5b9,8526,Canada U20,WJC-20,6,3,3,4,3
15,5e0a6b87b796e999afd8b5ba,8526,Canada U20,WJC-20,6,3,9,8,14
16,5e0a6b87b796e999afd8b5bb,8526,Canada,WC,9,3,11,10,10
17,5e0a6b87b796e999afd8b5bc,8526,Canada,OG,7,3,4,2,2
18,5e0a6b87b796e999afd8b5bd,8526,"Canada 
“C”",WC,8,2,7,27,6
19,5e0a6b87b796e999afd8b5be,8526,Canada,OG,6,1,2,4,3
20,5e0a6b87b796e999afd8b5bf,8526,Canada,WCup,5,0,3,4,0
21,5e0a6b95b796e999afd8b67e,9346,"Canada Ontario U17 
“C”",WHC-17,6,5,6,2,
22,5e0a6b95b796e999afd8b67f,9346,Canada U18,WJC-18,7,0,0,14,0
23,5e0a6b97b796e999afd8b6a9,9470,Canada Pacific U17,WHC-17,6,0,2,6,
24,5e0a6b97b796e999afd8b6aa,9470,Canada U18,WJC-18,7,1,1,0,5
25,5e0a6b97b796e999afd8b6ab,9470,Canada U20,WJC-20,6,0,1,0,8
26,5e0a6b97b796e999afd8b6ac,9470,Canada U20,WJC-20,6,1,0,6,9
27,5e0a6b9cb796e999afd8b6e1,10157,"Canada Ontario U17 
“A”",WHC-17,6,3,4,4,
28,5e0a6b9cb796e999afd8b6e2,10157,Canada,WC,9,0,2,0,-2
29,5e0a6b9cb796e999afd8b6e3,10157,Canada,WC,8,1,2,4,5
30,5e0a6ba2b796e999afd8b735,8610,Czech Republic U18,WJC-18,6,1,3,8,1
31,5e0a6ba2b796e999afd8b736,8610,Czech Republic U20,WJC-20,7,0,0,4,0
32,5e0a6ba2b796e999afd8b737,8610,Czech Republic U20 (all),International-Jr,10,0,0,4,
33,5e0a6ba2b796e999afd8b738,8610,Czech Republic (all),International,2,0,0,10,
34,5e0a6ba2b796e999afd8b739,8610,Czech Republic,WC,6,1,0,4,0
35,5e0a6ba2b796e999afd8b73a,8610,Czech Republic (all),International,20,2,1,14,
36,5e0a6ba2b796e999afd8b73b,8610,Czech Republic (all),International,15,0,3,6,-4
37,5e0a6ba2b796e999afd8b73c,8610,Czech Republic,WC,9,0,0,8,4
38,5e0a6ba2b796e999afd8b73d,8610,Czech Republic (all),International,22,0,0,20,0
39,5e0a6ba2b796e999afd8b73e,8610,Czech Republic (all),International,10,1,1,16,1
40,5e0a6ba2b796e999afd8b73f,8610,Czech Republic (all),International,8,1,0,4,3
41,5e0a6bb7b796e999afd8b819,12230,Ukraine,WC,6,2,0,2,-1
42,5e0a6bb7b796e999afd8b81a,12230,Ukraine,OGQ,3,0,0,0,-1
43,5e0a6bb7b796e999afd8b81b,12230,Ukraine,WC D1,5,1,1,0,4
44,5e0a6bb7b796e999afd8b81c,12230,Ukraine,WC D1,5,3,9,2,7
45,5e0a6bb7b796e999afd8b81d,12230,Ukraine,WC D1,5,1,3,0,-2
46,5e0a6bb7b796e999afd8b81e,12230,Ukraine,WC D1A,5,1,0,2,-2
47,5e0a6bb7b796e999afd8b81f,12230,Ukraine,OGQ,6,2,1,0,3
48,5e0a6bb7b796e999afd8b820,12230,Ukraine,WC D1B,5,3,1,0,6
49,5e0a6bb7b796e999afd8b821,12230,Ukraine,WC D1A,4,2,2,6,2
50,5e0a6bb7b796e999afd8b822,12230,"Ukraine 
“A”",WC D1A,5,1,2,0,-2
51,5e0a6bb7b796e999afd8b823,12230,Ukraine,OGQ,3,1,2,0,4
52,5e0a6bb7b796e999afd8b824,12230,Ukraine,WC D1B,5,2,2,2,-1
53,5e0a6bb7b796e999afd8b825,12230,"Ukraine 
“A”",WC D1B,5,1,3,4,1
54,5e0a6bb7b796e999afd8b826,12230,"Ukraine 
“C”",WC D1B,5,2,5,4,3
55,5e0a6bbab796e999afd8b83e,3575,Great Britain,OGQ,3,0,0,6,-5
56,5e0a6bd0b796e999afd8b95e,10352,Canada Western U17,WHC-17,5,0,1,20,
57,5e0a6bd3b796e999afd8b984,8818,Canada U20,WJC-20,6,1,4,0,0
58,5e0a6bdab796e999afd8b9cc,10434,Canada Western U17,WHC-17,5,1,2,2,
59,5e0a6bdeb796e999afd8b9fb,11011,Czech Republic U17 (all),International-Jr,12,0,0,0,
60,5e0a6bdeb796e999afd8b9fc,11011,Czech Republic U18 (all),International-Jr,1,0,0,0,
61,5e0a6bdeb796e999afd8b9fd,11011,Czech Republic U20 (all),International-Jr,3,1,0,12,
62,5e0a6bdeb796e999afd8b9fe,11011,Czech Republic U20,WJC-20,7,0,0,2,0
63,5e0a6bdeb796e999afd8b9ff,11011,Czech Republic U20 (all),International-Jr,10,0,1,2,
64,5e0a6bdeb796e999afd8ba00,11011,Czech Republic (all),International,8,1,1,12,-5
65,5e0a6be5b796e999afd8ba3c,322178,Canada Red U17,WHC-17,5,1,5,2,
66,5e0a6be5b796e999afd8ba3d,322178,"Canada U18 
“C”",WJC-18,7,6,4,4,9
67,5e0a6be7b796e999afd8ba4b,56705,Canada Western U17,WHC-17,5,1,1,2,
68,5e0a6bebb796e999afd8ba7c,9641,Slovakia U18,WJC-18,6,0,5,4,-1
69,5e0a6bebb796e999afd8ba7d,9641,Slovakia U20,WJC-20,7,3,3,4,1
70,5e0a6bebb796e999afd8ba7e,9641,Slovakia (all),International,3,0,0,-,
71,5e0a6bebb796e999afd8ba7f,9641,Slovakia (all),International,3,0,0,-,
72,5e0a6beeb796e999afd8baaf,9510,Canada Atlantic U17,WHC-17,4,1,3,-,
73,5e0a6beeb796e999afd8bab0,9510,Canada U18,Nations Cup,5,0,3,2,
74,5e0a6beeb796e999afd8bab1,9510,Canada U20,WJC-20,6,0,0,2,0
75,5e0a6beeb796e999afd8bab2,9510,"Canada U20 
“C”",WJC-20,6,4,0,2,1
76,5e0a6bf3b796e999afd8badf,232712,"Canada White U17 
“A”",WHC-17,5,2,1,4,
77,5e0a6bf3b796e999afd8bae0,232712,Canada U18,WJC-18,3,2,1,0,0
78,5e0a6bf3b796e999afd8bae1,232712,Canada U18,WJC-18,6,5,3,8,2
79,5e0a6bf3b796e999afd8bae2,232712,Canada U20,WJC-20,7,3,4,4,9
80,5e0a6bf9b796e999afd8bb28,9244,Slovakia U18,WJC-18,7,1,0,34,-1
81,5e0a6bf9b796e999afd8bb29,9244,Slovakia U18,WJC-18,6,0,3,26,5
82,5e0a6bf9b796e999afd8bb2a,9244,Slovakia U20,WJC-20,6,0,1,20,0
83,5e0a6bf9b796e999afd8bb2b,9244,Slovakia U20,WJC-20,6,1,5,32,2
84,5e0a6bf9b796e999afd8bb2c,9244,Slovakia,WC,6,0,0,16,-6
85,5e0a6bf9b796e999afd8bb2d,9244,Slovakia (all),International,6,0,0,16,-6
86,5e0a6bf9b796e999afd8bb2e,9244,Slovakia (all),International,5,1,0,18,-4
87,5e0a6c08b796e999afd8bbdc,9516,Canada Pacific U17,WHC-17,5,2,1,4,
88,5e0a6c08b796e999afd8bbdd,9516,Canada U20,WJC-20,6,1,1,0,2
89,5e0a6c11b796e999afd8bc20,4681,Finland U16 (all),International-Jr,6,1,2,0,
90,5e0a6c11b796e999afd8bc21,4681,Finland U17 (all),International-Jr,6,0,1,10,
91,5e0a6c11b796e999afd8bc22,4681,Finland U20,WJC-20,6,0,0,24,-2
92,5e0a6c11b796e999afd8bc23,4681,Finland (all),International,8,2,4,4,3
93,5e0a6c14b796e999afd8bc39,201368,Canada Black U17,WHC-17,5,0,0,0,
94,5e0a6c1bb796e999afd8bc65,428849,Finland U16 (all),International-Jr,1,0,0,0,
95,5e0a6c1bb796e999afd8bc66,428849,Finland U17 (all),International-Jr,3,0,2,0,
96,5e0a6c30b796e999afd8bd72,51853,Canada Western U17,WHC-17,5,4,1,2,
97,5e0a6c3ab796e999afd8be0c,11490,Great Britain,WC D1A,5,1,0,6,-1
98,5e0a6c4ab796e999afd8be96,166425,Slovakia U17,WHC-17,5,0,0,4,
99,5e0a6c4ab796e999afd8be97,166425,Slovakia U17 (all),International-Jr,3,0,0,2,
100,5e0a6c4ab796e999afd8be98,166425,Slovakia U18,WJC-18,5,1,0,8,-1
101,5e0a6c4ab796e999afd8be99,166425,Slovakia U18 (all),International-Jr,11,0,4,35,
102,5e0a6c4ab796e999afd8be9a,166425,Slovakia U20,WJC-20,5,1,0,0,-1
103,5e0a6c4ab796e999afd8be9b,166425,Slovakia (all),International,2,0,0,2,0
104,5e0a6c58b796e999afd8bf30,59476,Russia U20,WJC-20,7,0,0,6,-2
105,5e0a6c5ab796e999afd8bf5c,10426,Canada Ontario U17,WHC-17,6,4,4,4,
106,5e0a6c5ab796e999afd8bf5d,10426,Canada U20,WJC-20,6,1,1,14,1
107,5e0a6c63b796e999afd8bfb2,4131,Finland U16 (all),International-Jr,6,0,0,2,
108,5e0a6c63b796e999afd8bfb3,4131,Finland U17 (all),International-Jr,13,4,4,0,
109,5e0a6c63b796e999afd8bfb4,4131,Finland U20,WJC-20,6,1,0,0,1
110,5e0a6c63b796e999afd8bfb5,4131,Finland U20,WJC-20,7,4,2,4,3
