,_id,ep_id,full_name,date_of_birth,hometown,country,youth_team,position,height,weight,shoots,status,scout_text
0,5e0a6b5bb796e999afd8b374,201106,"Colten Veloso
                                                                                                         a.k.a. ""Colton Veloso""","Jun 27, 1997","Winnipeg, MB, CAN",Canada,-,RW,"6'1"" / 185 cm",192 lbs / 87 kg,R,-,2010-11 team: Monarchs
1,5e0a6b5db796e999afd8b393,88699,Tyler Lewington,"Dec 05, 1994","Edmonton, AB, CAN",Canada,-,D,"6'2"" / 188 cm",203 lbs / 92 kg,R,19/20,-
2,5e0a6b60b796e999afd8b3b2,17925,Eric Sonnenberg,"Apr 16, 1982",-,Canada,-,LW,"6'3"" / 191 cm",194 lbs / 88 kg,L,Retired,-
3,5e0a6b62b796e999afd8b3cf,24322,Bryan Nathe,"Feb 08, 1983","Elk River, MN, USA",USA,-,D,"6'0"" / 183 cm",190 lbs / 86 kg,R,Retired,-
4,5e0a6b64b796e999afd8b3f5,24007,"Mitch Maxwell
                                                                                                         a.k.a. ""Mitchell Maxwell""","Dec 03, 1990","Magrath, AB, CAN",Canada,-,LW,"5'11"" / 180 cm",207 lbs / 94 kg,L,19/20,"Brother: Russell Maxwell

Cousin: Brooks Maxwell

Uncle: Bryan Maxwell

• Missed two seasons of play due to LDS missionary work"
5,5e0a6b66b796e999afd8b414,101633,"Nick Zajac
                                                                                                         a.k.a. ""Nicholas Barry Zajac""","Mar 27, 1995","Headingley, MB, CAN",Canada,-,LW/C,"5'10"" / 178 cm",183 lbs / 83 kg,L,-,Full name: Nicholas Zajac
6,5e0a6b68b796e999afd8b430,32763,"Brenden Kichton
                                                                


 a.k.a. ""Brenden Fredrick Kichton""","Jun 18, 1992","Spruce Grove, AB, CAN",Canada,-,D,"5'10"" / 178 cm",185 lbs / 84 kg,R,19/20,Brother: Marcus Kichton
7,5e0a6b6bb796e999afd8b44b,247936,Dalton Gally,"Jan 26, 1998","Eagle River, AK, USA",USA,-,D,"6'5"" / 195 cm",227 lbs / 103 kg,L,19/20,-
8,5e0a6b6db796e999afd8b462,78435,Sean Dixon,"Feb 22, 1981","Waterloo, ON, CAN",Canada,-,D,"6'2"" / 188 cm",185 lbs / 84 kg,L,Retired,-
9,5e0a6b6fb796e999afd8b471,62238,Jamal Watson,"Jan 14, 1995","Calgary, AB, CAN",Canada,-,LW/RW,"5'11"" / 180 cm",181 lbs / 82 kg,R,-,-
10,5e0a6b71b796e999afd8b48c,11108,Brett MacLean,"Dec 24, 1988","Port Elgin, ON, CAN",Canada,-,RW,"6'2"" / 188 cm",196 lbs / 89 kg,R,Retired,Team Staff profile of Brett MacLean also available
11,5e0a6b73b796e999afd8b4a7,159029,"Rinat Valiyev
                                                                


 a.k.a. ""Rinat Valiev""","May 11, 1995","Nizhnekamsk, RUS",Russia,Ak Bars Kazan,D,"6'2"" / 187 cm",216 lbs / 98 kg,L,19/20,-
12,5e0a6b75b796e999afd8b4c2,246126,Andrew Dennis,"Sep 06, 1985","King City, ON, CAN",Canada,-,D,"6'1"" / 185 cm",203 lbs / 92 kg,R,-,-
13,5e0a6b77b796e999afd8b4cb,15610,Jeremy Swanson,"Jun 21, 1984","Red Rock, ON, CAN",Canada,-,D,"6'0"" / 183 cm",207 lbs / 94 kg,L,Retired,-
14,5e0a6b7ab796e999afd8b4ee,15330,Warren McCutcheon,"Aug 06, 1982","Carmen, MB, CAN",Canada,-,C,"6'4"" / 194 cm",201 lbs / 91 kg,L,Retired,-
15,5e0a6b7cb796e999afd8b509,41098,Dominik Uher,"Dec 31, 1992","Frydek-Mistek, CZE","Czech Rep. 
                                                                                            /  Germany",HC Frydek-Mistek,C,"6'0"" / 183 cm",203 lbs / 92 kg,L,19/20,-
16,5e0a6b7eb796e999afd8b521,95829,Kyle Sonnenburg,"May 07, 1986","Waterloo, ON, CAN","Canada 
                                                                                            /  Germany",-,D,"6'1"" / 185 cm",198 lbs / 90 kg,L,19/20,Cousin: Riley Sonnenburg
17,5e0a6b81b796e999afd8b536,79742,Jon Kress,"Nov 25, 1982","Regina, SK, CAN",Canada,-,C,"5'11"" / 180 cm",187 lbs / 85 kg,L,Retired,-
18,5e0a6b82b796e999afd8b549,15382,Matt Kang,"Nov 09, 1988","Toronto, ON, CAN",Canada,-,LW,"5'10"" / 177 cm",170 lbs / 77 kg,R,Retired,Full name: Matthew Kang
19,5e0a6b85b796e999afd8b561,83127,Shawn Roed,"Jan 22, 1981","White Bear Lake, MN, USA",USA,-,F,"5'9"" / 175 cm",172 lbs / 78 kg,L,Retired,-
20,5e0a6b87b796e999afd8b588,8526,Ryan Getzlaf,"May 10, 1985","Regina, SK, CAN",Canada,Regina Rangers MHA,C,"6'4"" / 193 cm",225 lbs / 102 kg,R,20/21,"Brother: Chris Getzlaf (external link)
Cousin: Ashley Getzlaf"
21,5e0a6b8ab796e999afd8b5c0,13618,"Ray Macias
                                                                                                         a.k.a. ""Raymond Macias""","Sep 18, 1986","Long Beach, CA, USA",USA,-,D/RW,"6'1"" / 185 cm",198 lbs / 90 kg,R,Retired,"Macias is a well-rounded defenseman. He has a good outlet pass as well as fine hands and nice puck control. Excels on the powerplay.- Ulf Andersson, EP"
22,5e0a6b8cb796e999afd8b5e5,26383,Jamie Crooks,"Jan 08, 1992","Vermilion, AB, CAN",Canada,-,LW,"5'10"" / 178 cm",181 lbs / 82 kg,L,19/20,-
23,5e0a6b8fb796e999afd8b608,37131,Braeden Laroque,"Jun 04, 1992","Saskatoon, SK, CAN",Canada,-,D,"6'0"" / 184 cm",172 lbs / 78 kg,L,-,-
24,5e0a6b91b796e999afd8b627,11034,Wade Skolney,"Jun 24, 1981","Wynyard, SK, CAN",Canada,-,D,"6'0"" / 183 cm",194 lbs / 88 kg,L,Retired,-
25,5e0a6b93b796e999afd8b642,9028,Cam Janssen,"Apr 15, 1984","St. Louis, MO, USA",USA,-,RW,"6'0"" / 183 cm",216 lbs / 98 kg,R,Retired,-
26,5e0a6b95b796e999afd8b66d,9346,Ryan McDonough,"Jan 02, 1988","Toronto, ON, CAN",Canada,North York MHA,C,"5'10"" / 178 cm",176 lbs / 80 kg,L,18/19,"McDonough is a very speedy center. Plays a well-rounded game and is pretty tough despite not being very big.- Ulf Andersson, EP


Brother: Jason McDonough"
27,5e0a6b97b796e999afd8b680,9470,Shawn Belle,"Jan 03, 1985","Edmonton, AB, CAN",Canada,Knights of Columbus,D,"6'1"" / 185 cm",236 lbs / 107 kg,L,Retired,"A defensive minded, defenseman with excellent physical tools, Belle skates pretty well. Potential to be a good two-way defenseman, but has not been really able to transition his offensive game from the juniors. Hockey sense could be better.  - Erik K. Piri, EP"
28,5e0a6b99b796e999afd8b6ad,215609,Jason Penner,"Apr 01, 1983","Chatham, ON, CAN",Canada,-,C,"6'3"" / 191 cm",205 lbs / 93 kg,L,Retired,-
29,5e0a6b9bb796e999afd8b6bc,10157,Jordan Staal,"Sep 10, 1988","Thunder Bay, ON, CAN",Canada,Thunder Bay Kings,C,"6'4"" / 193 cm",220 lbs / 100 kg,L,22/23,"Brothers: Eric Staal, Marc Staal, Jared Staal  Cousin: Jeff Heerema"
30,5e0a6b9db796e999afd8b6e4,23970,Darren Kramer,"Nov 19, 1991","Peace River, AB, CAN",Canada,-,C/LW,"6'1"" / 185 cm",209 lbs / 95 kg,L,-,-
31,5e0a6ba0b796e999afd8b707,193105,Ryan MacKay,"Apr 22, 1983","Sault Ste. Marie, ON, CAN",Canada,-,D,"6'2"" / 188 cm",185 lbs / 84 kg,L,Retired,-
32,5e0a6ba2b796e999afd8b71a,8610,"Tomas Mojzis
                                                                


 a.k.a. ""Tomáš Mojžíš""","May 02, 1982","Kolin, CZE",Czech Rep.,SC Kolin,D,"6'0"" / 183 cm",183 lbs / 83 kg,L,Retired,"Mojžíš is a smart defenseman who plays a well-rounded game. Has great passing ability and poise, and can be used in any situation.
Doesn't have much of a physical game, and can be pushed around by bigger forwards.- Ulf Andersson, EP"
33,5e0a6ba5b796e999afd8b740,37175,Joel Ridgeway,"Sep 04, 1990","Grosse Isle, MB, CAN",Canada,-,LW,"6'2"" / 188 cm",174 lbs / 79 kg,L,Retired,-
34,5e0a6ba7b796e999afd8b755,11694,Moises Gutierrez,"Jul 20, 1986","Anchorage, AK, USA",USA,-,RW,"6'4"" / 193 cm",227 lbs / 103 kg,R,Retired,-
35,5e0a6ba9b796e999afd8b774,37201,Taylor Vause,"Sep 28, 1991","Calgary, AB, CAN",Canada,-,C,"5'10"" / 177 cm",183 lbs / 83 kg,R,19/20,-
36,5e0a6bacb796e999afd8b78d,245432,Scott Maher,"Apr 11, 1984","Kingston, ON, CAN",Canada,-,RW,-,-,R,-,-
37,5e0a6baeb796e999afd8b7a0,61675,Ben Knopp,"Apr 08, 1982","Calgary, AB, CAN",Canada,-,F,"6'0"" / 184 cm",179 lbs / 81 kg,R,Retired,"Cousins: Joe Gatenby, Danny Gatenby"
38,5e0a6bb0b796e999afd8b7bb,57121,Zane Jones,"Jun 08, 1994","Olds, AB, CAN","Canada 
                                                                                            /  Australia",-,LW/RW,"6'3"" / 191 cm",209 lbs / 95 kg,L,-,Uncle: Lanny McDonald
39,5e0a6bb2b796e999afd8b7dc,248214,Damir Alic,"Jun 23, 1987","Kent, WA, USA",USA,-,C,"5'10"" / 178 cm",183 lbs / 83 kg,R,Retired,-
40,5e0a6bb4b796e999afd8b7e3,3657,Nathan Horton,"May 29, 1985","Welland, ON, CAN",Canada,Welland Tigers,RW,"6'2"" / 188 cm",229 lbs / 104 kg,R,19/20,Great-Uncle-in-law: Jacques Plante
41,5e0a6bb7b796e999afd8b812,12230,"Andrei Mikhnov
                                                                                                         a.k.a. ""Andri Mikhnov""","Nov 26, 1983","Kiev, UKR","Ukraine 
                                                                                            /  Russia",Sokol Kiev,C/LW,"6'7"" / 200 cm",214 lbs / 97 kg,L,-,Brother: Alexei Mikhnov
42,5e0a6bbab796e999afd8b827,3575,Rod Sarich,"Mar 23, 1981","Bladworth, SK, CAN","Canada 
                                                                                            /  U.K.",-,D/F,"6'4"" / 192 cm",187 lbs / 85 kg,L,Retired,"Brother: Cory Sarich, brother-in-law: Nick Schultz"
43,5e0a6bbcb796e999afd8b83f,15540,Trevor Hendrikx,"Mar 29, 1985","Russell, ON, CAN",Canada,-,D,"6'2"" / 189 cm",205 lbs / 93 kg,R,-,-
44,5e0a6bbeb796e999afd8b868,13845,Jack Combs,"Jan 26, 1988","St. Louis, MO, USA",USA,-,RW/LW,"6'0"" / 183 cm",201 lbs / 91 kg,L,-,Brother: Charlie Combs
45,5e0a6bc0b796e999afd8b89b,21192,Justin Wallingford,"May 12, 1987","Hamilton, ON, CAN",Canada,-,D,"6'6"" / 197 cm",225 lbs / 102 kg,R,Retired,-
46,5e0a6bc3b796e999afd8b8b4,33323,Sean Moir,"Mar 25, 1984","Calgary, AB, CAN",Canada,-,D,"6'0"" / 184 cm",187 lbs / 85 kg,L,Retired,"Brothers: Kyle Moir, Tyler Moir"
