,_id,ep_id,season,team,league,games_played,goals,assists,penalty_min,plus_minus
0,5e0a6b5bb796e999afd8b375,201106,2011-12,Winnipeg Monarchs Bantam AAA,WBAAA,29,5,5,12,
1,5e0a6b5bb796e999afd8b377,201106,,Winnipeg Monarchs City Mdgt,WCML,2,0,0,0,
2,5e0a6b5bb796e999afd8b379,201106,2012-13,Winnipeg Wild Midget AAA,MMHL,1,0,0,0,
3,5e0a6b5bb796e999afd8b37b,201106,2013-14,Winnipeg Wild Midget AAA,MMHL,29,7,17,42,
4,5e0a6b5bb796e999afd8b37d,201106,,Steinbach Pistons,MJHL,2,0,1,0,
5,5e0a6b5bb796e999afd8b37f,201106,,Portland Winterhawks,WHL,6,0,1,0,-2
6,5e0a6b5bb796e999afd8b381,201106,2014-15,Steinbach Pistons,MJHL,40,12,3,38,
7,5e0a6b5bb796e999afd8b383,201106,,Portland Winterhawks,WHL,8,1,0,0,0
8,5e0a6b5bb796e999afd8b385,201106,2015-16,Portland Winterhawks,WHL,71,11,7,22,-3
9,5e0a6b5bb796e999afd8b387,201106,2016-17,Portland Winterhawks,WHL,71,18,14,49,-11
10,5e0a6b5bb796e999afd8b389,201106,2017-18,Kootenay Ice,WHL,71,25,22,48,-30
11,5e0a6b5bb796e999afd8b38b,201106,,Jacksonville IceMen,ECHL,4,0,0,0,-4
12,5e0a6b5bb796e999afd8b38d,201106,2018-19,Jacksonville IceMen,ECHL,14,1,2,8,3
13,5e0a6b5bb796e999afd8b38f,201106,,Univ. of Manitoba,USports,12,2,5,4,
14,5e0a6b5bb796e999afd8b391,201106,2019-20,Univ. of Manitoba,USports,14,2,4,8,
15,5e0a6b5db796e999afd8b394,88699,2008-09,Sherwood Park Flyers Bantam AAA,AMBHL,32,1,13,20,
16,5e0a6b5db796e999afd8b396,88699,2009-10,Sherwood Park Squires Minor Mdgt,AMMHL,33,7,17,49,
17,5e0a6b5db796e999afd8b398,88699,2010-11,Sherwood Park Kings Midget AAA,AMHL,34,4,22,46,
18,5e0a6b5db796e999afd8b39a,88699,2011-12,Medicine Hat Tigers,WHL,44,0,3,46,7
19,5e0a6b5db796e999afd8b39c,88699,2012-13,Medicine Hat Tigers,WHL,69,2,24,131,14
20,5e0a6b5db796e999afd8b39e,88699,2013-14,Medicine Hat Tigers,WHL,68,7,31,121,40
21,5e0a6b5db796e999afd8b3a0,88699,2014-15,"Medicine Hat Tigers 
“C”",WHL,69,9,36,113,25
22,5e0a6b5db796e999afd8b3a2,88699,2015-16,Hershey Bears,AHL,32,3,3,89,8
23,5e0a6b5db796e999afd8b3a4,88699,,South Carolina Stingrays,ECHL,14,1,5,20,0
