ep_id,full_name,date_of_birth,hometown,country,youth_team,position,height,weight,shoots
11101,Radek Meidl,1988-11-25,Prostejov,Czech,HC Olomouc,LW,191,03,L
40288,Nathan Snowie,1988-01-07,Charlottetown,Canada,-,C,183,86,L
106101,Shawn Boudreau,1994-03-17,Kentville,Canada,-,LW,188,76,L
155239,Mitch Jones,1995-02-08,Rochester,USA,-,D,180,90,L
268659,Matt Brassard,1998-08-08,Barrie,Canada,-,D,188,89,R
23464,Benoît Gervais,1988-05-05,NaN,Canada,-,D,188,91,L
33935,Malte Strömwall,1994-08-24,Luleå,Sweden,Linköpings HC,RW,180,88,R
213821,Nicolas Meloche,1997-07-18,LaSalle,Canada,AHM Île-Perrot,D,190,93,R
45573,Jamie Wise,1991-04-05,Stouffville,Canada,-,LW,183,92,L
120107,Miles Warkentine,1996-02-02,Prince,Canada,-,RW/C,180,86,R
193114,Cavan Fitzgerald,1996-08-23,Boston,Canada,-,D,185,86,L
13595,Carson McMillan,1988-09-10,Brandon,Canada,-,RW/C,185,89,R
240108,Logan Stanley,1998-05-26,Kitchener,Canada,Waterloo MHA,D,200,05,L
10431,Cody Franson,1987-08-08,Sicamous,Canada,Sicamous Eagles,D,196,02,R
283690,Tyler Smith,1999-08-26,Grand,Canada,-,D,178,77,R
119462,Ben Duperreault,1996-07-18,Wilcox,Canada,-,C/LW,175,79,L
78324,Mike McNamee,1992-10-23,Perth,Canada,-,C,183,81,L
37973,Charlie Dodero,1992-10-01,Bloomingdale,USA,-,D,188,98,R
284005,Cole Coskey,1999-06-01,Zion,USA,-,RW,183,86,R
158032,Brandon Belding,1994-02-24,Ottawa,Canada,-,C,191,95,L
213461,Maxime Fortier,1997-12-15,Montréal,Canada,-,RW,178,83,R
300060,Brian King,1999-02-12,Exeter,USA,-,C,183,82,R
24653,Taylor Beck,1991-05-13,Niagara,Canada,-,RW/LW,188,92,R
9337,Ben Maxwell,1988-03-30,North,Canada,North Shore Winter Club MHA,C/LW,185,83,L
129112,Antoine Bouillon,1995-02-16,Deux,Canada,-,RW,178,77,R
38026,Michael Claffey,1992-01-18,Spruce,Canada,-,D/F,180,88,L
197267,Kyle Tibbo,1996-08-09,Conception,Canada,-,F,180,81,L
11749,Jordan Owens,1986-05-01,Toronto,Canada,-,LW,183,85,L
39749,Eddy Martin,1988-01-27,LaSalle,Canada,-,RW,175,84,L
189016,Trent Mallette,1996-08-24,Levack,Canada,-,RW,178,84,R
106154,Ross Johnston,1994-02-18,Charlottetown,Canada,-,LW,195,07,L
122880,Tomas Fendek,1986-01-13,NaN,Czech,SK Karvina,D,187,72,R
15398,Ryan Stanton,1989-07-20,Albert,Canada,-,D,188,93,L
