,weight,hometown,height,full_name,youth_team,shoots,country,scout_text,ep_id,date_of_birth,position,games_played_17,games_played_18,games_played_19,games_played_20,games_played_21,games_played_22,games_played_23,games_played_24,games_played_25,games_played_26,goals_17,goals_18,goals_19,goals_20,goals_21,goals_22,goals_23,goals_24,goals_25,goals_26,assists_17,assists_18,assists_19,assists_20,assists_21,assists_22,assists_23,assists_24,assists_25,assists_26,penalty_min_17,penalty_min_18,penalty_min_19,penalty_min_20,penalty_min_21,penalty_min_22,penalty_min_23,penalty_min_24,penalty_min_25,penalty_min_26,plus_minus_17,plus_minus_18,plus_minus_19,plus_minus_20,plus_minus_21,plus_minus_22,plus_minus_23,plus_minus_24,plus_minus_25,plus_minus_26,games_played_14,games_played_15,games_played_16,games_played_28,goals_14,goals_15,goals_16,goals_28,assists_14,assists_15,assists_16,assists_28,penalty_min_14,penalty_min_15,penalty_min_16,penalty_min_28,plus_minus_14,plus_minus_15,plus_minus_16,plus_minus_28,games_played_13,goals_13,assists_13,penalty_min_13,plus_minus_13,games_played_27,goals_27,assists_27,penalty_min_27,plus_minus_27,games_played_29,goals_29,assists_29,penalty_min_29,plus_minus_29,games_played_30,games_played_31,games_played_32,goals_30,goals_31,goals_32,assists_30,assists_31,assists_32,penalty_min_30,penalty_min_31,penalty_min_32,plus_minus_30,plus_minus_31,plus_minus_32,games_played_33,games_played_34,goals_33,goals_34,assists_33,assists_34,penalty_min_33,penalty_min_34,plus_minus_33,plus_minus_34,games_played_35,goals_35,assists_35,penalty_min_35,plus_minus_35,games_played_12,goals_12,assists_12,penalty_min_12,plus_minus_12,team_17,team_18,team_19,team_20,team_21,team_22,team_23,team_24,team_25,team_26,league_17,league_18,league_19,league_20,league_21,league_22,league_23,league_24,league_25,league_26,team_14,team_15,team_16,team_28,league_14,league_15,league_16,league_28,team_13,league_13,team_27,league_27,team_29,league_29,team_30,team_31,team_32,league_30,league_31,league_32,team_33,team_34,league_33,league_34,team_35,league_35,team_12,league_12
0,91,Thornhill,193,Thomas Schemitsch,-,R,Canada,"Schemitsch plays a good offensive game, but is a solid two way defenseman, not purely offensive. He has great size and skates well. He is very smart, too. (Tyler Parchem, EP 2015)Brother: Geoffrey Schemitsch",232612,"Oct 26, 1996",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,91,Longueuil,188,,-,R,Canada,,45251,"Jan 14, 1991",D,45.0,48.0,58.0,63.0,68.0,28.0,28.0,27.0,50.0,50.0,10.0,2.0,1.0,4.0,5.0,1.0,2.0,1.0,3.0,2.0,16.0,15.0,10.0,18.0,27.0,5.0,11.0,7.0,12.0,22.0,58.0,31.0,54.0,43.0,61.0,18.0,16.0,20.0,41.0,39.0,0.0,0.0,1.0,10.0,-18.0,-23.0,-21.0,-18.0,-3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montréal Prédateurs 
“A”",Sainte-Thérèse Nordiques,Rimouski Océanic,Prince Edward Island Rocket,Prince Edward Island Rocket,St. Thomas Univ.,St. Thomas Univ.,St. Thomas Univ.,St. Thomas Univ.,Alaska Aces,QMAAA,QJAAAHL,QMJHL,QMJHL,QMJHL,USports,USports,USports,USports,ECHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,81,Langley,183,Bobby Russell,-,L,Canada,,337737,"Mar 23, 2000",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,86,Vancouver,184,Stefan Elliott,North Shore Winter Club,R,Canada,"Elliott is a defenseman with decent two-way ability. Offensively, he has a great shot and fine puck skills. Could improve his physical game. - Erik K. Piri, Elite Prospects (2013)",15735,"Jan 30, 1991",D,67.0,71.0,72.0,71.0,69.0,62.0,62.0,69.0,56.0,,9.0,16.0,26.0,31.0,9.0,6.0,15.0,19.0,10.0,,31.0,39.0,39.0,50.0,18.0,11.0,14.0,21.0,15.0,,17.0,26.0,24.0,14.0,12.0,8.0,14.0,24.0,18.0,,-18.0,20.0,41.0,31.0,4.0,-6.0,-8.0,-6.0,3.0,,0.0,0.0,37.0,67.0,0.0,0.0,12.0,7.0,0.0,0.0,19.0,22.0,0.0,0.0,18.0,12.0,0.0,0.0,-0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saskatoon Blades,Saskatoon Blades,Saskatoon Blades,Saskatoon Blades,Colorado Avalanche,Lake Erie Monsters,Lake Erie Monsters,Lake Erie Monsters,Milwaukee Admirals,,WHL,WHL,WHL,WHL,NHL,AHL,AHL,AHL,AHL,,North Shore WC Bantam A1-T1,North Shore WC Bantam A1-T1,Vancouver NW Hawks,Belleville Senators,Bantam,Bantam,BCMML,AHL,,,,,,,,,,,,,,,,,,,,
4,95,Boston,191,Cameron Askew,-,R,USA,,177694,"May 13, 1997",C/RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,03,Raleigh,198,Logan Brown,St. Louis Blues AAA,L,USA,"Brown is a huge center who excels at both ends of the ice. He can be dominant in the offensive zone but takes care of his own end as well. His large frame is key to his success as he uses his body to shield his puck and his reach to keep it off other players sticks. He is not overly physical for a player his size, but will finish every check and battle down low very effectively. He has a good shot with a pro like release as well as good creativity and maturity when passing the puck. (Tyler Parchem, EP 2016)
Father: Jeff Brown, 
Brother: Caden Brown",248391,"Mar 05, 1998",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,05,Windsor,200,Hunter Smith,-,R,Canada,Uncle: Brad Smith,117017,"Sep 11, 1995",RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,75,Caroline,178,Ryan Russell,-,L,Canada,"A small forward, Russell has very good work ethic and is an excellent skater. He possesses decent hockey IQ and on-ice vision as well as solid offensive skills. Russell's size is a major weakness and while he compensates for it with a great attitude, he is unlikely to reach a regular scoring role in the NHL. (Matias Strozyk, 2011)

Twin Brother: Kris Russell",11056,"May 02, 1987",LW/RW,67.0,66.0,72.0,58.0,37.0,79.0,74.0,65.0,72.0,62.0,3.0,32.0,33.0,30.0,8.0,20.0,19.0,10.0,11.0,10.0,9.0,21.0,42.0,46.0,5.0,19.0,18.0,11.0,6.0,6.0,27.0,18.0,30.0,40.0,8.0,24.0,8.0,48.0,17.0,16.0,-7.0,27.0,17.0,24.0,-2.0,27.0,16.0,17.0,-4.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kootenay Ice,Kootenay Ice,Kootenay Ice,Kootenay Ice,Hamilton Bulldogs,Hamilton Bulldogs,"Hamilton Bulldogs 
“A”","Hamilton Bulldogs 
“A”",Columbus Blue Jackets,Springfield Falcons,WHL,WHL,WHL,WHL,AHL,AHL,AHL,AHL,NHL,AHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,02,Hamilton,197,Justin Wallingford,-,R,Canada,,21192,"May 12, 1987",D,39.0,56.0,57.0,55.0,61.0,24.0,24.0,27.0,23.0,26.0,0.0,0.0,0.0,2.0,11.0,1.0,2.0,3.0,5.0,6.0,2.0,5.0,12.0,11.0,39.0,5.0,5.0,7.0,11.0,5.0,23.0,47.0,74.0,129.0,132.0,39.0,66.0,20.0,96.0,50.0,-11.0,0.0,13.0,12.0,-17.0,3.0,2.0,6.0,10.0,5.0,,,49.0,,,,9.0,,,,22.0,,,,111.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oshawa Generals,Kingston Frontenacs,Kingston Frontenacs,Kingston Frontenacs,"Kingston Frontenacs 
“C”",Saint Mary's Univ.,Saint Mary's Univ.,Saint Mary's Univ.,Saint Mary's Univ.,"Saint Mary's Univ. 
“C”",OHL,OHL,OHL,OHL,OHL,USports,USports,USports,USports,USports,,,Hamilton Reps Minor Midget,,,,AHMMPL,,,,,,,,,,,,,,,,,,,,,
9,86,Sherwood,188,Joel Lakusta,-,R,Canada,,166652,"Jun 24, 1998",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
