,ep_id,scout_text,type
3,155239,"Father: Brad Jones
Brother: Max Jones
Cousin: Harrison Caines",No
6,33935,Father: Johan StrÃ¶mwall,No
7,213821,"A smooth skating defenceman who can put up points, utilizing his strength behind his shot, and plays with an edge. Has very good awareness on the ice, and notices possible scoring chances before they happen. Very intelligent defensively and makes high percentage decisions in his own end. When at the top of his game, Nicolas Meloche can be a game-changing, physical two-way defenceman.",Yes
8,45573,Brother: Brendan Wise,No
9,120107,Brother: Drew Warkentine,No
11,13595,"McMillan is a hard working winger. Has decent hands and hockey sense, but could improve his skating speed.- Erik K. Piri, EP",Yes
15,119462,Surname spelled/listed as Duppereault in 2011 WHL bantam draft info,No
17,37973,"Brothers: Chris Dodero, Chad Dodero",No
20,213461,Brother: Gabriel Fortier,No
22,24653,"Beck is a big winger with a good shot and offensive instincts. At his best when he goes to the net. Needs to improve his defensive game and skating ability.- Erik K. Piri, EP (2012)",Yes
23,9337,"Maxwell is a skilled two-way center. Is very solid defensively and reads the play well. Prefers to pass rather than shoot himself.- Erik K. Piri, EP",Yes
25,38026,Also has been listed as a R handed shot.,No
26,197267,Team Staff profile of Kyle Tibbo also available,No
28,39749,Team Staff profile of Eddy Martin-Whalen also available,No
29,189016,Father: Troy Mallette,No
32,15398,"Stanton has all-around ability, but focuses on defense first. He likes to play a rough game, but can also put up some points on offense.- Erik K. Piri, EP",Yes
35,88677,Brother: Cody Milan,No
37,164249,Also listed as a R handed shot.,Yes
42,286608,"Father: Michael Barlage

Uncle: Jonathon Barlage",No
43,15228,"Ritter is a big winger who goes straight to the net. Hard to knock off the puck. Has decent scoring instincts, but not very good hands.- Ulf Andersson, EP",Yes
44,60726,"Brother: Colton Stephenson
Uncle: Bob Stephenson
Cousins: Joey Kocur, Logan Stephenson & Shay Stephenson",No
45,201245,"Brothers: Jordan Kaspick, Mason Kaspick",No
46,32758,"A skilled center with great on-ice vision, Macek is a very good skater. He competes hard and is a terrific playmaker. Excels on the powerplay.- Erik K. Piri, EP (2012)",Yes
49,56044,"Father: Petr Kalus

Brother: Petr Kalus",No
50,37089,Brother : Maxime Langelier-Parent,No
52,31079,Brother: Dean McNabb,No
59,226615,"Martenet is yet another huge project defenceman in this years draft. Being 6'7, he has incredible reach and plays physical but smart. He improved lots as the year went on in London and turned into one of their go to defenders later in the year. As he continues to grow into this body he could be a monster. (Tyler Parchem, EP 2015)",Yes
63,54190,Father: Dave Cameron,No
65,175894,"A complete all-around defenceman that makes the game look easy. Natural size and strength compliment his smooth stride. Very mobile skater who moves up and down the ice quickly, with acute recognition of puck and body position. His maturity and poise is actualized in his high-percentage decision-making, with and without the puck, as well as his proactive stick and body play. Very stable defensively and always takes his lane, but is quick to rush the puck up the ice as he recognizes and accounts for how much time his team is spending in their own end. All-in-all, a quick-thinking defenceman that, honestly lacking nothing, has the potential to develop into a reliable two-way defenceman. (Curtis Joe, EP 2016)
Family relations
Brother: Matias NiemelÃ¤inen",Yes
67,354159,Brother: FÃ©lix Lafrance,No
69,76158,"Rookie impressed coaches with his willingness to partake in the physical aspects of the game, looks to add to his game next year.",Yes
70,76504,"Fawcett's 5'6 frame has held him back his entire junior career. He finally cracked Barrie's line up last season after being an effective Tier II player. Few thought he would be in the OHL for his OA season this year, but Fawcett uses his offensive instincts and hard work to continue to prove doubters wrong. (Tyler Parchem, EP, 2014)",Yes
71,245610,Brother: Darren Raddysh,No
78,3693,"An average player when it comes to pure offense, technical skills and hockey sense. However, AhlÃ©n is a very good role player who checks hard and always gives his best. Strong and quite physical and aggressive. Shows great attitude and determination on the ice and is a real team player.
Brother: Tommy AhlÃ©n",Yes
82,189461,"Father:  Brian Verbeek

Brother:  Hayden Verbeek

Uncles: Pat Verbeek, Gerard Verbeek & Tim Verbeek

Cousin: Kyle Verbeek",No
83,45506,Brother: David Tot,No
85,18047,Father: Adolf Insam,No
95,15629,Father: Mike Eagles,No
97,64899,Wife: Alexandra Cipparone,No
98,76776,Sisters : Amy Locke | Erin Locke,No
102,33558,Brother: Carson Trask,No
103,45282,"Father: Alain Danault
Sister: Ann-AndrÃ©e Danault",No
105,11308,Team Staff profile of Max Gordichuk also available,No
109,27945,"A lanky and offensively skilled forward with surprisingly quick feet. Olden is a creative player with good hockey sense and strong technical skills. A pretty productive player, that thrives on the pp unit, that will put up points on the board, but also contribute defensively. Has, however, some inconsistency issues and must bulk up. Brother: Cato Olden",Yes
112,85322,"Possesses a rare combination of size and mobility. Christian Marti, with his skill and long reach, has perfect shutdown abilities. Battles hard along the boards and will not quit until he has the puck. Plays with a lot intensity, as Marti loves to throw out punishing hits. He needs to work on his consistency and try to avoid defensive woes. Has untapped offensive abilities and owns a booming shot from the point, which makes him a reliable option for a power play unit. (by Rafik Soliman, December 2013)",Yes
113,9189,"Letang is an all-around talent on defense. He has world-class skating ability and terrific puckhandling skills. He's got fantastic hockey sense and oozes creativity from the backend. The right-handed shot can also play a physical game, despite not having a huge frame.",Yes
115,335688,Brother: Jason Desruisseaux,No
116,11645,Team Staff profile of Jeff May also available,No
118,283908,"Father: Petr KlÃ­ma
Grandfather: Josef KlÃ­ma
Twin brother: Kelly Klima",No
122,200710,Brother: Haydn Fleury,No
123,13940,Brother: Thomas Brandl,No
126,4229,Step-Brother: Josh Kego,No
130,268666,"Chiodo is a 15th round pick of the Colts. He is a very small player who was one of the best players in Major Midget AAA last season. He is not draft eligible until next season. He has some talent and speed, but his size does pose challenges for him. He plays bottom 6 on Barrie (Tyler Parchem, EP 2016)",Yes
131,11321,"Brothers: Chad McQuaid, Nathan McQuaid
Cousins: Alexander McQuaid, Chris McQuaid",No
142,9293,Father: Marian Bezak,No
143,45512,"A center with very good stickhandling and speed. An excellent passer and playmaker who is useful on both powerplay and penalty kill. Could improve his physicality. (Matias Strozyk)

Brother: Lucas Johansen",Yes
147,7261,"Brother: Guntis Dzerins 
Second cousin: Lauris Dzerins",No
151,199682,"A stolid yet competitive defenseman that elevates his level of play at the game's key moments. Plays safe and always makes the high-percentage play. Never takes himself out of the unfolding play and gets involved in all areas of the ice. Strong physically and asserts himself through winning board battles. Excellent transition game and makes seeing eye passes look easy. His composed demeanor lets him overlook some dumb penalties that would be very easy to take; that being said, he isn't afraid to stand up for himself or teammates. All-in-all, a determined, hard-working defenseman that makes all of the right decisions in helping his team win. (Curtis Joe, EP 2015)",No
158,18886,Team Staff profile of Craig Cunningham also available,No
163,252481,Brother: Dylan L'Italien,No
168,318857,"Father: Marek MalÃ­k
Brother: Nick MalÃ­k",No
174,11117,Brother: David Beauregard,No
177,12518,"A hard working center, Macenauer is very good defensively. He has solid hockey sense and plays a pretty well-rounded game. Is a fast skater with a good, low center of gravity.- Erik K. Piri, EP",Yes
178,18613,Team Staff profile of Dustin Donaghy also available,No
183,11324,A skilled center with good hockey sense and two-way instincts. Very good skater with speed and agility. Good shot and playmaking abilities. Works hard all over the ice. (EP 2005),Yes
185,21009,Brother: Wheaton King,No
186,90345,Brother: Tanner Hartman,No
188,146884,Listed in 2011/12 OJHL stats as Nick Pastorious,No
189,36713,Team Staff profile of Ron Soucie also available,No
190,12154,Brother: Kevin Demers,No
